predictor,macro_f1,balanced_accuracy,accuracy,top2_accuracy,weighted_f1,log_loss,clases_emitidas
B0_clase_mayoritaria,0.08631277768731536,0.16666666666666666,0.3494153652985953,,0.18095406447329845,,1
B1_prior_aleatoria,0.16537274878425837,0.16537459577323213,0.21845719218394413,,0.2186405386719556,,6
B2_heuristica_produccion,0.12321520937822938,0.16784580019239334,0.20374323157812133,,0.18131134355766487,,4
B3_moda_por_segmento,0.08631277768731536,0.16666666666666666,0.3494153652985953,,0.18095406447329845,,1
M1_logistica_multinomial,0.08637716786157651,0.16663845683840683,0.34932119595071803,0.5496037039943499,0.18101911769583645,1.6402203505325652,2
M2_lightgbm_multiclase,0.0948685278882639,0.166967058085655,0.34512281252452326,0.5372439770854587,0.18967721367679347,1.657797474485804,6
